Tunnus, Aikaleima, Longitudi, Latitudi
X4,2014-01-06 15:40:00,25,65
X4,2014-01-06 16:40:00,25,64
X4,2014-01-06 17:40:00,25,63
X4,2014-01-06 18:40:00,25,62
X4,2014-01-06 19:40:00,25,61
X4,2014-01-06 20:40:00,25,60
X4,2014-01-06 21:40:00,25,59
X4,2014-01-06 22:40:00,25,58
X4,2014-01-06 23:40:00,25,57
X4,2014-01-07 00:40:00,25,56
X4,2014-01-21 01:40:00,30,55
X4,2014-01-21 02:40:00,30,56
X4,2014-01-21 03:40:00,30,57
X4,2014-01-21 04:40:00,30,58
X4,2014-01-21 05:40:00,30,59
X4,2014-01-21 06:40:00,30,60
X4,2014-01-21 07:40:00,30,61
X4,2014-01-21 08:40:00,30,62
X4,2014-01-21 09:40:00,30,63
X4,2014-01-21 10:40:00,30,64
X4,2014-01-28 11:40:00,-8,54
X4,2014-01-28 12:00:00,-7,54
X4,2014-01-28 12:20:00,-6,54
X4,2014-01-28 12:40:00,-5,54
X4,2014-01-28 13:00:00,-4,54
X4,2014-01-28 13:20:00,-3,54
X4,2014-01-28 13:40:00,-2,54
X4,2014-01-28 14:00:00,-1,54
X4,2014-01-28 14:20:00,0,54
X4,2014-01-28 14:40:00,1,54
X4,2014-01-28 15:00:00,2,54
X4,2014-01-28 15:20:00,3,54
X4,2014-01-28 15:40:00,4,54
X4,2014-01-28 16:00:00,5,54
X4,2014-01-28 16:20:00,6,54
X4,2014-01-28 16:40:00,7,54
X4,2014-01-28 17:00:00,8,54
X4,2014-01-28 17:20:00,9,54
X4,2014-01-28 17:40:00,10,54
X4,2014-01-28 18:00:00,11,54
X4,2014-01-28 18:20:00,12,54
X4,2014-01-28 18:40:00,13,54
X4,2014-01-28 19:00:00,14,54
X4,2014-01-28 19:20:00,15,54
X4,2014-01-28 19:40:00,16,54
X4,2014-01-28 20:00:00,17,54
X4,2014-01-28 20:20:00,18,54
X4,2014-01-28 20:40:00,19,54
X4,2014-01-28 21:00:00,20,54
X4,2014-01-28 21:20:00,21,54
X4,2014-01-28 21:40:00,22,54
X4,2014-01-28 22:00:00,23,54
X4,2014-01-28 22:20:00,24,54
X4,2014-01-28 22:40:00,25,54
X4,2014-01-28 23:00:00,26,54
X4,2014-01-28 23:20:00,27,54
X4,2014-01-28 23:40:00,28,54
X4,2014-01-29 00:00:00,29,54
