Aikaleima, Longitudi, Latitudi
2014-01-01 00:02:57,-8.0,56.77
2014-01-01 00:02:58,-8.0,56.78
2014-01-01 00:02:59,-8.0,56.79
2014-01-01 00:03:00,-8.0,56.8
2014-01-01 00:03:01,-8.0,56.81
2014-01-01 00:03:02,-8.0,56.82
2014-01-01 00:03:03,-8.0,56.83
2014-01-01 00:03:04,-8.0,56.84
2014-01-01 00:03:05,-8.0,56.85
2014-01-01 00:03:06,-8.0,56.86
2014-01-01 00:03:07,-8.0,56.87
2014-01-01 00:03:08,-8.0,56.88
2014-01-01 00:03:09,-8.0,56.89
2014-01-01 00:03:10,-8.0,56.9
2014-01-01 00:03:11,-8.0,56.91
2014-01-01 00:03:12,-8.0,56.92
2014-01-01 00:03:13,-8.0,56.93
2014-01-01 00:03:14,-8.0,56.94
2014-01-01 00:03:15,-8.0,56.95
2014-01-01 00:03:16,-8.0,56.96
2014-01-01 00:03:17,-8.0,56.97
2014-01-01 00:03:18,-8.0,56.98
2014-01-01 00:03:19,-8.0,56.99
2014-01-01 00:03:20,-8.0,57.0
2014-01-01 00:03:21,-8.0,57.01
2014-01-01 00:03:22,-8.0,57.02
2014-01-01 00:03:23,-8.0,57.03
2014-01-01 00:03:24,-8.0,57.04
2014-01-01 00:03:25,-8.0,57.05
2014-01-01 00:03:26,-8.0,57.06
2014-01-01 00:03:27,-8.0,57.07
2014-01-01 00:03:28,-8.0,57.08
2014-01-01 00:03:29,-8.0,57.09
2014-01-01 00:03:30,-8.0,57.1
2014-01-01 00:03:31,-8.0,57.11
2014-01-01 00:03:32,-8.0,57.12
2014-01-01 00:03:33,-8.0,57.13
2014-01-01 00:03:34,-8.0,57.14
2014-01-01 00:03:35,-8.0,57.15
2014-01-01 00:03:36,-8.0,57.16
2014-01-01 00:03:37,-8.0,57.17
2014-01-01 00:03:38,-8.0,57.18
2014-01-01 00:03:39,-8.0,57.19
2014-01-01 00:03:40,-8.0,57.2
2014-01-01 00:03:41,-8.0,57.21
2014-01-01 00:03:42,-8.0,57.22
2014-01-01 00:03:43,-8.0,57.23
2014-01-01 00:03:44,-8.0,57.24
2014-01-01 00:03:45,-8.0,57.25
2014-01-01 00:03:46,-8.0,57.26
2014-01-01 00:03:47,-8.0,57.27
2014-01-01 00:03:48,-8.0,57.28
2014-01-01 00:03:49,-8.0,57.29
2014-01-01 00:03:50,-8.0,57.3
2014-01-01 00:03:51,-8.0,57.31
2014-01-01 00:03:52,-8.0,57.32
2014-01-01 00:03:53,-8.0,57.33
2014-01-01 00:03:54,-8.0,57.34
2014-01-01 00:03:55,-8.0,57.35
2014-01-01 00:03:56,-8.0,57.36
2014-01-01 00:03:57,-8.0,57.37
2014-01-01 00:03:58,-8.0,57.38
2014-01-01 00:03:59,-8.0,57.39
2014-01-01 00:04:00,-8.0,57.4
2014-01-01 00:04:01,-8.0,57.41
2014-01-01 00:04:02,-8.0,57.42
2014-01-01 00:04:03,-8.0,57.43
2014-01-01 00:04:04,-8.0,57.44
2014-01-01 00:04:05,-8.0,57.45
2014-01-01 00:04:06,-8.0,57.46
2014-01-01 00:04:07,-8.0,57.47
2014-01-01 00:04:08,-8.0,57.48
2014-01-01 00:04:09,-8.0,57.49
2014-01-01 00:04:10,-8.0,57.5
2014-01-01 00:04:11,-8.0,57.51
2014-01-01 00:04:12,-8.0,57.52
2014-01-01 00:04:13,-8.0,57.53
2014-01-01 00:04:14,-8.0,57.54
2014-01-01 00:04:15,-8.0,57.55
2014-01-01 00:04:16,-8.0,57.56
2014-01-01 00:04:17,-8.0,57.57
2014-01-01 00:04:18,-8.0,57.58
2014-01-01 00:04:19,-8.0,57.59
2014-01-01 00:04:20,-8.0,57.6
2014-01-01 00:04:21,-8.0,57.61
2014-01-01 00:04:22,-8.0,57.62
2014-01-01 00:04:23,-8.0,57.63
2014-01-01 00:04:24,-8.0,57.64
2014-01-01 00:04:25,-8.0,57.65
2014-01-01 00:04:26,-8.0,57.66
2014-01-01 00:04:27,-8.0,57.67
2014-01-01 00:04:28,-8.0,57.68
2014-01-01 00:04:29,-8.0,57.69
2014-01-01 00:04:30,-8.0,57.7
2014-01-01 00:04:31,-8.0,57.71
2014-01-01 00:04:32,-8.0,57.72
2014-01-01 00:04:33,-8.0,57.73
2014-01-01 00:04:34,-8.0,57.74
2014-01-01 00:04:35,-8.0,57.75
2014-01-01 00:04:36,-8.0,57.76
2014-01-01 00:04:37,-8.0,57.77
2014-01-01 00:04:38,-8.0,57.78
2014-01-01 00:04:39,-8.0,57.79
2014-01-01 00:04:40,-8.0,57.8
2014-01-01 00:04:41,-8.0,57.81
2014-01-01 00:04:42,-8.0,57.82
2014-01-01 00:04:43,-8.0,57.83
2014-01-01 00:04:44,-8.0,57.84
2014-01-01 00:04:45,-8.0,57.85
2014-01-01 00:04:46,-8.0,57.86
2014-01-01 00:04:47,-8.0,57.87
2014-01-01 00:04:48,-8.0,57.88
2014-01-01 00:04:49,-8.0,57.89
2014-01-01 00:04:50,-8.0,57.9
2014-01-01 00:04:51,-8.0,57.91
2014-01-01 00:04:52,-8.0,57.92
2014-01-01 00:04:53,-8.0,57.93
2014-01-01 00:04:54,-8.0,57.94
2014-01-01 00:04:55,-8.0,57.95
2014-01-01 00:04:56,-8.0,57.96
2014-01-01 00:04:57,-8.0,57.97
2014-01-01 00:04:58,-8.0,57.98
2014-01-01 00:04:59,-8.0,57.99
2014-01-01 00:05:00,-8.0,58.0
2014-01-01 00:05:01,-8.0,58.01
2014-01-01 00:05:02,-8.0,58.02
2014-01-01 00:05:03,-8.0,58.03
2014-01-01 00:05:04,-8.0,58.04
2014-01-01 00:05:05,-8.0,58.05
2014-01-01 00:05:06,-8.0,58.06
2014-01-01 00:05:07,-8.0,58.07
2014-01-01 00:05:08,-8.0,58.08
2014-01-01 00:05:09,-8.0,58.09
2014-01-01 00:05:10,-8.0,58.1
2014-01-01 00:05:11,-8.0,58.11
2014-01-01 00:05:12,-8.0,58.12
2014-01-01 00:05:13,-8.0,58.13
2014-01-01 00:05:14,-8.0,58.14
2014-01-01 00:05:15,-8.0,58.15
2014-01-01 00:05:16,-8.0,58.16
2014-01-01 00:05:17,-8.0,58.17
2014-01-01 00:05:18,-8.0,58.18
2014-01-01 00:05:19,-8.0,58.19
2014-01-01 00:05:20,-8.0,58.2
2014-01-01 00:05:21,-8.0,58.21
2014-01-01 00:05:22,-8.0,58.22
2014-01-01 00:05:23,-8.0,58.23
2014-01-01 00:05:24,-8.0,58.24
2014-01-01 00:05:25,-8.0,58.25
2014-01-01 00:05:26,-8.0,58.26
2014-01-01 00:05:27,-8.0,58.27
2014-01-01 00:05:28,-8.0,58.28
2014-01-01 00:05:29,-8.0,58.29
2014-01-01 00:05:30,-8.0,58.3
2014-01-01 00:05:31,-8.0,58.31
2014-01-01 00:05:32,-8.0,58.32
2014-01-01 00:05:33,-8.0,58.33
2014-01-01 00:05:34,-8.0,58.34
2014-01-01 00:05:35,-8.0,58.35
2014-01-01 00:05:36,-8.0,58.36
2014-01-01 00:05:37,-8.0,58.37
2014-01-01 00:05:38,-8.0,58.38
2014-01-01 00:05:39,-8.0,58.39
2014-01-01 00:05:40,-8.0,58.4
2014-01-01 00:05:41,-8.0,58.41
2014-01-01 00:05:42,-8.0,58.42
2014-01-01 00:05:43,-8.0,58.43
2014-01-01 00:05:44,-8.0,58.44
2014-01-01 00:05:45,-8.0,58.45
2014-01-01 00:05:46,-8.0,58.46
2014-01-01 00:05:47,-8.0,58.47
2014-01-01 00:05:48,-8.0,58.48
2014-01-01 00:05:49,-8.0,58.49
2014-01-01 00:05:50,-8.0,58.5
2014-01-01 00:05:51,-8.0,58.51
2014-01-01 00:05:52,-8.0,58.52
2014-01-01 00:05:53,-8.0,58.53
2014-01-01 00:05:54,-8.0,58.54
2014-01-01 00:05:55,-8.0,58.55
2014-01-01 00:05:56,-8.0,58.56
2014-01-01 00:05:57,-8.0,58.57
2014-01-01 00:05:58,-8.0,58.58
2014-01-01 00:05:59,-8.0,58.59
2014-01-01 00:06:00,-8.0,58.6
2014-01-01 00:06:01,-8.0,58.61
2014-01-01 00:06:02,-8.0,58.62
2014-01-01 00:06:03,-8.0,58.63
2014-01-01 00:06:04,-8.0,58.64
2014-01-01 00:06:05,-8.0,58.65
2014-01-01 00:06:06,-8.0,58.66
2014-01-01 00:06:07,-8.0,58.67
2014-01-01 00:06:08,-8.0,58.68
2014-01-01 00:06:09,-8.0,58.69
2014-01-01 00:06:10,-8.0,58.7
2014-01-01 00:06:11,-8.0,58.71
2014-01-01 00:06:12,-8.0,58.72
2014-01-01 00:06:13,-8.0,58.73
2014-01-01 00:06:14,-8.0,58.74
2014-01-01 00:06:15,-8.0,58.75
2014-01-01 00:06:16,-8.0,58.76
2014-01-01 00:06:17,-8.0,58.77
2014-01-01 00:06:18,-8.0,58.78
2014-01-01 00:06:19,-8.0,58.79
2014-01-01 00:06:20,-8.0,58.8
2014-01-01 00:06:21,-8.0,58.81
2014-01-01 00:06:22,-8.0,58.82
2014-01-01 00:06:23,-8.0,58.83
2014-01-01 00:06:24,-8.0,58.84
2014-01-01 00:06:25,-8.0,58.85
2014-01-01 00:06:26,-8.0,58.86
2014-01-01 00:06:27,-8.0,58.87
2014-01-01 00:06:28,-8.0,58.88
2014-01-01 00:06:29,-8.0,58.89
2014-01-01 00:06:30,-8.0,58.9
2014-01-01 00:06:31,-8.0,58.91
2014-01-01 00:06:32,-8.0,58.92
2014-01-01 00:06:33,-8.0,58.93
2014-01-01 00:06:34,-8.0,58.94
2014-01-01 00:06:35,-8.0,58.95
2014-01-01 00:06:36,-8.0,58.96
2014-01-01 00:06:37,-8.0,58.97
2014-01-01 00:06:38,-8.0,58.98
2014-01-01 00:06:39,-8.0,58.99
2014-01-01 00:06:40,-8.0,59.0
2014-01-01 00:06:41,-8.0,59.01
2014-01-01 00:06:42,-8.0,59.02
2014-01-01 00:06:43,-8.0,59.03
2014-01-01 00:06:44,-8.0,59.04
2014-01-01 00:06:45,-8.0,59.05
2014-01-01 00:06:46,-8.0,59.06
2014-01-01 00:06:47,-8.0,59.07
2014-01-01 00:06:48,-8.0,59.08
2014-01-01 00:06:49,-8.0,59.09
2014-01-01 00:06:50,-8.0,59.1
2014-01-01 00:06:51,-8.0,59.11
2014-01-01 00:06:52,-8.0,59.12
2014-01-01 00:06:53,-8.0,59.13
2014-01-01 00:06:54,-8.0,59.14
2014-01-01 00:06:55,-8.0,59.15
2014-01-01 00:06:56,-8.0,59.16
2014-01-01 00:06:57,-8.0,59.17
2014-01-01 00:06:58,-8.0,59.18
2014-01-01 00:06:59,-8.0,59.19
2014-01-01 00:07:00,-8.0,59.2
2014-01-01 00:07:01,-8.0,59.21
2014-01-01 00:07:02,-8.0,59.22
2014-01-01 00:07:03,-8.0,59.23
2014-01-01 00:07:04,-8.0,59.24
2014-01-01 00:07:05,-8.0,59.25
2014-01-01 00:07:06,-8.0,59.26
2014-01-01 00:07:07,-8.0,59.27
2014-01-01 00:07:08,-8.0,59.28
2014-01-01 00:07:09,-8.0,59.29
2014-01-01 00:07:10,-8.0,59.3
2014-01-01 00:07:11,-8.0,59.31
2014-01-01 00:07:12,-8.0,59.32
2014-01-01 00:07:13,-8.0,59.33
2014-01-01 00:07:14,-8.0,59.34
2014-01-01 00:07:15,-8.0,59.35
2014-01-01 00:07:16,-8.0,59.36
2014-01-01 00:07:17,-8.0,59.37
2014-01-01 00:07:18,-8.0,59.38
2014-01-01 00:07:19,-8.0,59.39
2014-01-01 00:07:20,-8.0,59.4
2014-01-01 00:07:21,-8.0,59.41
2014-01-01 00:07:22,-8.0,59.42
2014-01-01 00:07:23,-8.0,59.43
2014-01-01 00:07:24,-8.0,59.44
2014-01-01 00:07:25,-8.0,59.45
2014-01-01 00:07:26,-8.0,59.46
2014-01-01 00:07:27,-8.0,59.47
2014-01-01 00:07:28,-8.0,59.48
2014-01-01 00:07:29,-8.0,59.49
2014-01-01 00:07:30,-8.0,59.5
2014-01-01 00:07:31,-8.0,59.51
2014-01-01 00:07:32,-8.0,59.52
2014-01-01 00:07:33,-8.0,59.53
2014-01-01 00:07:34,-8.0,59.54
2014-01-01 00:07:35,-8.0,59.55
2014-01-01 00:07:36,-8.0,59.56
2014-01-01 00:07:37,-8.0,59.57
2014-01-01 00:07:38,-8.0,59.58
2014-01-01 00:07:39,-8.0,59.59
2014-01-01 00:07:40,-8.0,59.6
2014-01-01 00:07:41,-8.0,59.61
2014-01-01 00:07:42,-8.0,59.62
2014-01-01 00:07:43,-8.0,59.63
2014-01-01 00:07:44,-8.0,59.64
2014-01-01 00:07:45,-8.0,59.65
2014-01-01 00:07:46,-8.0,59.66
2014-01-01 00:07:47,-8.0,59.67
2014-01-01 00:07:48,-8.0,59.68
2014-01-01 00:07:49,-8.0,59.69
2014-01-01 00:07:50,-8.0,59.7
2014-01-01 00:07:51,-8.0,59.71
2014-01-01 00:07:52,-8.0,59.72
2014-01-01 00:07:53,-8.0,59.73
2014-01-01 00:07:54,-8.0,59.74
2014-01-01 00:07:55,-8.0,59.75
2014-01-01 00:07:56,-8.0,59.76
2014-01-01 00:07:57,-8.0,59.77
2014-01-01 00:07:58,-8.0,59.78
2014-01-01 00:07:59,-8.0,59.79
2014-01-01 00:08:00,-8.0,59.8
2014-01-01 00:08:01,-8.0,59.81
2014-01-01 00:08:02,-8.0,59.82
2014-01-01 00:08:03,-8.0,59.83
2014-01-01 00:08:04,-8.0,59.84
2014-01-01 00:08:05,-8.0,59.85
2014-01-01 00:08:06,-8.0,59.86
2014-01-01 00:08:07,-8.0,59.87
2014-01-01 00:08:08,-8.0,59.88
2014-01-01 00:08:09,-8.0,59.89
2014-01-01 00:08:10,-8.0,59.9
2014-01-01 00:08:11,-8.0,59.91
2014-01-01 00:08:12,-8.0,59.92
2014-01-01 00:08:13,-8.0,59.93
2014-01-01 00:08:14,-8.0,59.94
2014-01-01 00:08:15,-8.0,59.95
2014-01-01 00:08:16,-8.0,59.96
2014-01-01 00:08:17,-8.0,59.97
2014-01-01 00:08:18,-8.0,59.98
2014-01-01 00:08:19,-8.0,59.99
2014-01-01 00:08:20,-8.0,60.0
2014-01-01 00:08:21,-8.0,60.01
2014-01-01 00:08:22,-8.0,60.02
2014-01-01 00:08:23,-8.0,60.03
2014-01-01 00:08:24,-8.0,60.04
2014-01-01 00:08:25,-8.0,60.05
2014-01-01 00:08:26,-8.0,60.06
2014-01-01 00:08:27,-8.0,60.07
2014-01-01 00:08:28,-8.0,60.08
2014-01-01 00:08:29,-8.0,60.09
2014-01-01 00:08:30,-8.0,60.1
2014-01-01 00:08:31,-8.0,60.11
2014-01-01 00:08:32,-8.0,60.12
2014-01-01 00:08:33,-8.0,60.13
2014-01-01 00:08:34,-8.0,60.14
2014-01-01 00:08:35,-8.0,60.15
2014-01-01 00:08:36,-8.0,60.16
2014-01-01 00:08:37,-8.0,60.17
2014-01-01 00:08:38,-8.0,60.18
2014-01-01 00:08:39,-8.0,60.19
2014-01-01 00:08:40,-8.0,60.2
2014-01-01 00:08:41,-8.0,60.21
2014-01-01 00:08:42,-8.0,60.22
2014-01-01 00:08:43,-8.0,60.23
2014-01-01 00:08:44,-8.0,60.24
2014-01-01 00:08:45,-8.0,60.25
2014-01-01 00:08:46,-8.0,60.26
2014-01-01 00:08:47,-8.0,60.27
2014-01-01 00:08:48,-8.0,60.28
2014-01-01 00:08:49,-8.0,60.29
2014-01-01 00:08:50,-8.0,60.3
2014-01-01 00:08:51,-8.0,60.31
2014-01-01 00:08:52,-8.0,60.32
2014-01-01 00:08:53,-8.0,60.33
2014-01-01 00:08:54,-8.0,60.34
2014-01-01 00:08:55,-8.0,60.35
2014-01-01 00:08:56,-8.0,60.36
2014-01-01 00:08:57,-8.0,60.37
2014-01-01 00:08:58,-8.0,60.38
2014-01-01 00:08:59,-8.0,60.39
2014-01-01 00:09:00,-8.0,60.4
2014-01-01 00:09:01,-8.0,60.41
2014-01-01 00:09:02,-8.0,60.42
2014-01-01 00:09:03,-8.0,60.43
2014-01-01 00:09:04,-8.0,60.44
2014-01-01 00:09:05,-8.0,60.45
2014-01-01 00:09:06,-8.0,60.46
2014-01-01 00:09:07,-8.0,60.47
2014-01-01 00:09:08,-8.0,60.48
2014-01-01 00:09:09,-8.0,60.49
2014-01-01 00:09:10,-8.0,60.5
2014-01-01 00:09:11,-8.0,60.51
2014-01-01 00:09:12,-8.0,60.52
2014-01-01 00:09:13,-8.0,60.53
2014-01-01 00:09:14,-8.0,60.54
2014-01-01 00:09:15,-8.0,60.55
2014-01-01 00:09:16,-8.0,60.56
2014-01-01 00:09:17,-8.0,60.57
2014-01-01 00:09:18,-8.0,60.58
2014-01-01 00:09:19,-8.0,60.59
2014-01-01 00:09:20,-8.0,60.6
2014-01-01 00:09:21,-8.0,60.61
2014-01-01 00:09:22,-8.0,60.62
2014-01-01 00:09:23,-8.0,60.63
2014-01-01 00:09:24,-8.0,60.64
2014-01-01 00:09:25,-8.0,60.65
2014-01-01 00:09:26,-8.0,60.66
2014-01-01 00:09:27,-8.0,60.67
2014-01-01 00:09:28,-8.0,60.68
2014-01-01 00:09:29,-8.0,60.69
2014-01-01 00:09:30,-8.0,60.7
2014-01-01 00:09:31,-8.0,60.71
2014-01-01 00:09:32,-8.0,60.72
2014-01-01 00:09:33,-8.0,60.73
2014-01-01 00:09:34,-8.0,60.74
2014-01-01 00:09:35,-8.0,60.75
2014-01-01 00:09:36,-8.0,60.76
2014-01-01 00:09:37,-8.0,60.77
2014-01-01 00:09:38,-8.0,60.78
2014-01-01 00:09:39,-8.0,60.79
2014-01-01 00:09:40,-8.0,60.8
2014-01-01 00:09:41,-8.0,60.81
2014-01-01 00:09:42,-8.0,60.82
2014-01-01 00:09:43,-8.0,60.83
2014-01-01 00:09:44,-8.0,60.84
2014-01-01 00:09:45,-8.0,60.85
2014-01-01 00:09:46,-8.0,60.86
2014-01-01 00:09:47,-8.0,60.87
2014-01-01 00:09:48,-8.0,60.88
2014-01-01 00:09:49,-8.0,60.89
2014-01-01 00:09:50,-8.0,60.9
2014-01-01 00:09:51,-8.0,60.91
2014-01-01 00:09:52,-8.0,60.92
2014-01-01 00:09:53,-8.0,60.93
2014-01-01 00:09:54,-8.0,60.94
2014-01-01 00:09:55,-8.0,60.95
2014-01-01 00:09:56,-8.0,60.96
2014-01-01 00:09:57,-8.0,60.97
2014-01-01 00:09:58,-8.0,60.98
2014-01-01 00:09:59,-8.0,60.99
2014-01-01 00:10:00,-8.0,61.0
2014-01-01 00:10:01,-8.0,61.01
2014-01-01 00:10:02,-8.0,61.02
2014-01-01 00:10:03,-8.0,61.03
2014-01-01 00:10:04,-8.0,61.04
2014-01-01 00:10:05,-8.0,61.05
2014-01-01 00:10:06,-8.0,61.06
2014-01-01 00:10:07,-8.0,61.07
2014-01-01 00:10:08,-8.0,61.08
2014-01-01 00:10:09,-8.0,61.09
2014-01-01 00:10:10,-8.0,61.1
2014-01-01 00:10:11,-8.0,61.11
2014-01-01 00:10:12,-8.0,61.12
2014-01-01 00:10:13,-8.0,61.13
2014-01-01 00:10:14,-8.0,61.14
2014-01-01 00:10:15,-8.0,61.15
2014-01-01 00:10:16,-8.0,61.16
2014-01-01 00:10:17,-8.0,61.17
2014-01-01 00:10:18,-8.0,61.18
2014-01-01 00:10:19,-8.0,61.19
2014-01-01 00:10:20,-8.0,61.2
2014-01-01 00:10:21,-8.0,61.21
2014-01-01 00:10:22,-8.0,61.22
2014-01-01 00:10:23,-8.0,61.23
2014-01-01 00:10:24,-8.0,61.24
2014-01-01 00:10:25,-8.0,61.25
2014-01-01 00:10:26,-8.0,61.26
2014-01-01 00:10:27,-8.0,61.27
2014-01-01 00:10:28,-8.0,61.28
2014-01-01 00:10:29,-8.0,61.29
2014-01-01 00:10:30,-8.0,61.3
2014-01-01 00:10:31,-8.0,61.31
2014-01-01 00:10:32,-8.0,61.32
2014-01-01 00:10:33,-8.0,61.33
